aid,廣告ID,
title,廣告名稱,
pid,廣告位ID,
typeid,廣告類型,
areaid,地區ID,
amount,價格,
currency,單位,
url,鏈接地址,
introduce,廣告介紹,
hits,點擊次數,
username,會員名,
addtime,添加時間,
editor,編輯,
edittime,修改時間,
fromtime,開始時間,
totime,結束時間,
stat,是否統計點擊,
note,備註,
code,廣告代碼,
text_name,文字廣告名稱,
text_url,文字廣告鏈接地址,
text_title,文字廣告提示文字,
text_style,文章廣告顏色,
image_src,圖片廣告圖片地址,
image_url,圖片廣告鏈接地址,
image_alt,圖片廣告提示文字,
flash_src,FLASH廣告flash地址,
flash_url,FLASH廣告鏈接地址,
flash_loop,FLASH廣告是否循環播放,
key_moduleid,廣告模塊ID,
key_catid,廣告行業ID,
key_word,廣告關鍵詞,
key_id,廣告信息ID,
listorder,排序,
status,狀態,