itemid,ID,
catid,欄目ID,
typeid,分類ID,
areaid,地區ID,
level,級別,
title,標題,
style,顏色,
fee,收費,
introduce,簡介,
amount,供貨總量,
price,價格,
standard,產品規格,
pack,包裝要求,
days,發貨時間,
tag,產品名/標籤,
keyword,關鍵詞,
pptword,分類屬性,
hits,點擊次數,
thumb,標題圖,
thumb1,標題圖,
thumb2,標題圖,
username,會員名,
groupid,會員組,
company,公司名,
vip,VIP級別,
validated,認證,
truename,姓名/聯繫人,
telephone,電話,
mobile,手機,
address,地址,
email,E-mail,
msn,MSN,
qq,QQ,
ali,阿里旺旺,
skype,Skype,
totime,過期時間,
editor,編輯,
edittime,修改時間,
editdate,修改日期,
addtime,添加時間,
adddate,添加日期,
ip,IP,
template,模板,
status,狀態,
linkurl,鏈接地址,
filepath,文件地址,
note,備註,